feature,importance,importance_std
release_year,2.363401593922145,0.14980353529159524
Peak CCU,1.0623187232241829,0.05796865162250793
Average playtime forever,0.32662760432668136,0.0419013681269735
price_original,0.2888405802363785,0.010841020490886394
tag_2D,0.15708063546353182,0.025016020242044437
owners_mid,0.1362440772377577,0.0121070879866136
category_Steam Cloud,0.13504800782972856,0.017539416729650936
tag_Simulation,0.12052484721838634,0.010118923064172572
tag_Puzzle,0.10395549019037868,0.014571960721765103
tag_Visual Novel,0.10106178274091111,0.017332560993282935
category_In-App Purchases,0.09061838135371403,0.010580050394789747
tag_Pixel Graphics,0.08016543873905017,0.018975498223491278
Median playtime forever,0.07845379061845274,0.006542933693274108
tag_Cute,0.07157476425131175,0.003013861911337893
tag_Management,0.058725812745093954,0.0012279235952604216
tag_Great Soundtrack,0.05512052564011919,0.009338147720047534
tag_Survival,0.05300701468922971,0.009891990574000796
tag_Massively Multiplayer,0.05123383855897501,0.007366074076135522
tag_Open World,0.04261683387759637,0.008222736106223462
tag_Realistic,0.04259002162990081,0.008994833671771535
