reception_quintile,game_count,mean_actual_score,mean_predicted_score,mean_signed_error,mean_absolute_error
Q1 - Lowest reception,3311,29.00962680107317,53.754402,-24.744775786146914,25.298607416179333
Q2,3311,57.59450411014645,60.714745,-3.120239734764046,7.694549246409645
Q3,3310,68.36621516366128,64.27347,4.092749145053671,6.946135117734786
Q4,3311,75.14785153436051,67.45163,7.696224608951111,8.229253369330516
Q5 - Highest reception,3311,84.2341719496827,69.4763,14.757870470717553,14.92215600989212
