Model,RMSE,MAE,R2
XGB final tuned (numerical + Genres/Categories/Tags),17.382849454039697,12.618482868439072,0.3168145471109747
XGB numeric + Genres/Categories,17.95560096179328,13.104591812430575,0.27105197613690246
XGB numeric only,19.00093791407823,13.878629979267897,0.18370572573102528
Dummy mean,21.03526672659314,15.585149659244621,-0.0004438501703343256
